year,price_level,unit,value,gdp_growth_adjustment
2016,2006,eur/t,31.0,0.7
2017,2006,eur/t,32.0,0.7
2018,2006,eur/t,33.0,0.7
2019,2006,eur/t,34.0,0.7
2020,2006,eur/t,35.0,0.7
2021,2006,eur/t,36.0,0.7
2022,2006,eur/t,37.0,0.7
2023,2006,eur/t,38.0,0.7
2024,2006,eur/t,39.0,0.7
2025,2006,eur/t,40.0,0.7
2026,2006,eur/t,41.0,0.7
2027,2006,eur/t,42.0,0.7
2028,2006,eur/t,43.0,0.7
2029,2006,eur/t,44.0,0.7
2030,2006,eur/t,45.0,0.7
2031,2006,eur/t,45.5,0.7
2032,2006,eur/t,46.0,0.7
2033,2006,eur/t,46.5,0.7
2034,2006,eur/t,47.0,0.7
2035,2006,eur/t,47.5,0.7
2036,2006,eur/t,48.0,0.7
2037,2006,eur/t,48.5,0.7
2038,2006,eur/t,49.0,0.7
2039,2006,eur/t,49.5,0.7
2040,2006,eur/t,50.0,0.7
2041,2006,eur/t,50.5,0.7
2042,2006,eur/t,51.0,0.7
2043,2006,eur/t,51.5,0.7
2044,2006,eur/t,52.0,0.7
2045,2006,eur/t,52.5,0.7
2046,2006,eur/t,53.0,0.7
2047,2006,eur/t,53.5,0.7
2048,2006,eur/t,54.0,0.7
2049,2006,eur/t,54.5,0.7
2050,2006,eur/t,55.0,0.7
